model,mode,tags,classification,tool_selection,task_completion,input
deepseek-ai/DeepSeek-V4-Pro,cli,multi_step,P,0.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
deepseek-ai/DeepSeek-V4-Pro,cli,provider_machine_id|lookup,P,0.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
deepseek-ai/DeepSeek-V4-Pro,cli,lookup|by_id,I,0.00,0.00,Get the NetBox device with ID 4723.
deepseek-ai/DeepSeek-V4-Pro,cli,oob|bmc|pydantic_return,P,0.00,0.50,Give me the out-of-band (BMC) summary for device a6177514-026.
deepseek-ai/DeepSeek-V4-Pro,cli,filtering|precision,I,0.00,0.00,How many active devices are in the research-common-h100 cluster?
deepseek-ai/DeepSeek-V4-Pro,cli,large_result|cluster|pagination,P,0.00,1.00,List all devices in the reflection cluster and tell me how many there are.
deepseek-ai/DeepSeek-V4-Pro,cli,filtering|negative_filter,P,0.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
deepseek-ai/DeepSeek-V4-Pro,cli,ambiguity,I,0.00,0.00,Look up device gpu103 in NetBox.
deepseek-ai/DeepSeek-V4-Pro,cli,error_handling,P,0.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
deepseek-ai/DeepSeek-V4-Pro,cli,ambiguity,P,0.00,1.00,Look up ori-gpu001 in NetBox
deepseek-ai/DeepSeek-V4-Pro,cli,happy_path,P,0.00,1.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
deepseek-ai/DeepSeek-V4-Pro,cli,vendor_lookup,P,0.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
deepseek-ai/DeepSeek-V4-Pro,cli,cli_specific|filtering,P,1.00,0.00,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
deepseek-ai/DeepSeek-V4-Pro,cli,happy_path|ip_resolution,I,0.00,0.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
deepseek-ai/DeepSeek-V4-Pro,cli,ip_resolution|lookup,I,0.00,0.00,Which NetBox device has primary IP 10.49.5.61?
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,batch|multi_id,P,0.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,multi_step,P,0.00,0.50,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,provider_machine_id|lookup,P,1.00,0.50,Find the NetBox device whose provider machine ID is gpu061c.
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,oob|bmc|pydantic_return,I,0.00,0.00,Give me the out-of-band (BMC) summary for device a6177514-026.
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,filtering|precision,I,0.00,0.00,How many active devices are in the research-common-h100 cluster?
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,large_result|cluster|pagination,P,0.00,0.50,List all devices in the reflection cluster and tell me how many there are.
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,filtering|negative_filter,P,0.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,ambiguity,P,1.00,0.00,Look up device gpu103 in NetBox.
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,error_handling,P,0.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,ambiguity,P,1.00,0.50,Look up ori-gpu001 in NetBox
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,happy_path,P,1.00,0.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,vendor_lookup,P,1.00,0.50,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,cli_specific|filtering,P,1.00,0.50,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,happy_path|ip_resolution,P,1.00,0.50,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
meta-llama/Llama-3.3-70B-Instruct-Turbo,cli,ip_resolution|lookup,I,0.00,0.00,Which NetBox device has primary IP 10.49.5.61?
moonshotai/Kimi-K2.5-fp4,cli,filtering|precision,O,-,-,How many active devices are in the research-common-h100 cluster?
moonshotai/Kimi-K2.5-fp4,cli,happy_path,O,-,-,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
MiniMaxAI/MiniMax-M2.7,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
MiniMaxAI/MiniMax-M2.7,mcp,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
MiniMaxAI/MiniMax-M2.7,mcp,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
MiniMaxAI/MiniMax-M2.7,mcp,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
MiniMaxAI/MiniMax-M2.7,mcp,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
MiniMaxAI/MiniMax-M2.7,mcp,filtering|precision,P,1.00,0.00,How many active devices are in the research-common-h100 cluster?
MiniMaxAI/MiniMax-M2.7,mcp,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
MiniMaxAI/MiniMax-M2.7,mcp,filtering|negative_filter,C,1.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
MiniMaxAI/MiniMax-M2.7,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
MiniMaxAI/MiniMax-M2.7,mcp,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
MiniMaxAI/MiniMax-M2.7,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
MiniMaxAI/MiniMax-M2.7,mcp,happy_path,P,1.00,0.50,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
MiniMaxAI/MiniMax-M2.7,mcp,vendor_lookup,P,1.00,0.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
MiniMaxAI/MiniMax-M2.7,mcp,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
MiniMaxAI/MiniMax-M2.7,mcp,tool_selection,P,0.00,1.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
MiniMaxAI/MiniMax-M2.7,mcp,ip_resolution|lookup,P,0.00,1.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,filtering|precision,P,1.00,0.00,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,filtering|negative_filter,C,1.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,happy_path,C,1.00,1.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,tool_selection,P,0.00,1.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mcp,ip_resolution|lookup,C,1.00,1.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3.5-9B,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
Qwen/Qwen3.5-9B,mcp,multi_step,P,1.00,0.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
Qwen/Qwen3.5-9B,mcp,provider_machine_id|lookup,P,1.00,0.00,Find the NetBox device whose provider machine ID is gpu061c.
Qwen/Qwen3.5-9B,mcp,lookup|by_id,P,1.00,0.00,Get the NetBox device with ID 4723.
Qwen/Qwen3.5-9B,mcp,oob|bmc|pydantic_return,P,1.00,0.50,Give me the out-of-band (BMC) summary for device a6177514-026.
Qwen/Qwen3.5-9B,mcp,filtering|precision,I,0.00,0.00,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3.5-9B,mcp,large_result|cluster|pagination,P,1.00,0.00,List all devices in the reflection cluster and tell me how many there are.
Qwen/Qwen3.5-9B,mcp,filtering|negative_filter,I,0.00,0.00,List all devices in the research-common-h100 cluster that are NOT active
Qwen/Qwen3.5-9B,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
Qwen/Qwen3.5-9B,mcp,error_handling,P,1.00,0.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
Qwen/Qwen3.5-9B,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
Qwen/Qwen3.5-9B,mcp,happy_path,P,1.00,0.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
Qwen/Qwen3.5-9B,mcp,vendor_lookup,P,1.00,0.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
Qwen/Qwen3.5-9B,mcp,happy_path|ip_resolution,P,1.00,0.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
Qwen/Qwen3.5-9B,mcp,tool_selection,P,1.00,0.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
Qwen/Qwen3.5-9B,mcp,ip_resolution|lookup,P,1.00,0.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3.7-Max,mcp,filtering|precision,O,-,-,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3.7-Max,mcp,happy_path,O,-,-,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
deepseek-ai/DeepSeek-V4-Pro,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
deepseek-ai/DeepSeek-V4-Pro,mcp,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
deepseek-ai/DeepSeek-V4-Pro,mcp,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
deepseek-ai/DeepSeek-V4-Pro,mcp,lookup|by_id,C,1.00,0.80,Get the NetBox device with ID 4723.
deepseek-ai/DeepSeek-V4-Pro,mcp,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
deepseek-ai/DeepSeek-V4-Pro,mcp,filtering|precision,P,1.00,0.50,How many active devices are in the research-common-h100 cluster?
deepseek-ai/DeepSeek-V4-Pro,mcp,large_result|cluster|pagination,P,1.00,0.50,List all devices in the reflection cluster and tell me how many there are.
deepseek-ai/DeepSeek-V4-Pro,mcp,filtering|negative_filter,C,1.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
deepseek-ai/DeepSeek-V4-Pro,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
deepseek-ai/DeepSeek-V4-Pro,mcp,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
deepseek-ai/DeepSeek-V4-Pro,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
deepseek-ai/DeepSeek-V4-Pro,mcp,happy_path,C,1.00,1.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
deepseek-ai/DeepSeek-V4-Pro,mcp,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
deepseek-ai/DeepSeek-V4-Pro,mcp,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
deepseek-ai/DeepSeek-V4-Pro,mcp,tool_selection,C,1.00,1.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
deepseek-ai/DeepSeek-V4-Pro,mcp,ip_resolution|lookup,C,1.00,1.00,Which NetBox device has primary IP 10.49.5.61?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,provider_machine_id|lookup,I,0.00,0.00,Find the NetBox device whose provider machine ID is gpu061c.
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,filtering|precision,P,1.00,0.50,How many active devices are in the research-common-h100 cluster?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,large_result|cluster|pagination,P,1.00,0.00,List all devices in the reflection cluster and tell me how many there are.
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,filtering|negative_filter,P,1.00,0.00,List all devices in the research-common-h100 cluster that are NOT active
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,happy_path,P,1.00,0.50,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,tool_selection,C,1.00,1.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,ip_resolution|lookup,I,0.00,0.00,Which NetBox device has primary IP 10.49.5.61?
moonshotai/Kimi-K2.5-fp4,mcp,filtering|precision,O,-,-,How many active devices are in the research-common-h100 cluster?
moonshotai/Kimi-K2.5-fp4,mcp,happy_path,O,-,-,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
